Gene	number_of_undetected_samples	chi^2	pvalue	BH-corrected P-value	Bonferroni-corrected P-value
SKA1	10	24.230913543849745	0.007010507067273002	0.0319495813599822	1.0
UNKL	10	24.20727073106203	0.007068832959366799	0.03219932739047231	1.0
PTGS1	0	38.79144113829153	0.007076869512027043	0.03221986503157676	1.0
FAM169A	0	38.77332607715897	0.007113530155819302	0.03237063822276915	1.0
ASAH1	0	38.76871477611324	0.007122890794469573	0.03239709244317262	1.0
CD209	0	38.72038185349984	0.007221702067679496	0.03283016674172067	1.0
ACSL1	0	38.706165571896484	0.007251009770301371	0.03294700111052857	1.0
KDELC2	0	38.69389732483187	0.0072763912250380725	0.03304588814434248	1.0
TMEM120A	0	38.68604262119083	0.007292685393015608	0.033103427283504745	1.0
CTSA	0	38.67762888699413	0.007310177239703508	0.033166343134730325	1.0
KCTD14	10	24.10838450833628	0.0073178442512027	0.03318464327022555	1.0
RIN1	10	24.091043958302105	0.0073623650898467785	0.03336996544197054	1.0
RGS10	0	38.63004487511648	0.007409846262194826	0.03356851483761178	1.0
SLC25A20	0	38.6089742434649	0.007454386848552526	0.03375355234894905	1.0
MCAM	0	38.57429723707312	0.007528237015884392	0.034071054839480745	1.0
C8orf82	0	38.53159991643386	0.007620110831785563	0.03446977326730934	1.0
TINAGL1	0	38.517397373675855	0.007650903528386975	0.03459193164591992	1.0
APH1A	0	38.507034342877745	0.007673445353338674	0.03467668303416235	1.0
BCAP31	0	38.46527142017089	0.007764921641117172	0.03507271481123795	1.0
GPNMB	0	38.46253486744234	0.007770951269790037	0.03508259908402986	1.0
C2orf42	0	38.45028930752311	0.007797986552674142	0.035187258490895726	1.0
SUGP1	0	38.44377201540365	0.007812411121922751	0.035234938655071844	1.0
SRCIN1	0	38.43872911782819	0.007823589614871765	0.03526793877227238	1.0
