Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
AZU1	-6.4043336969222375	-6.562087870203249	-5.407953733577771	-6.256250433439412	-5.450916292038417	-5.181652013756798	3.6210216830533706	3.2343869800394263	2.7462654283319035	9.0395624473083	8.778617182202218	7.843340319002643
FARP1	0.1051990883571487	-7.772201444961803	-8.138836194078577	-0.52353571048058	-6.212718906694138	-7.017765660088693	1.5186121959998808	5.455233430886681	6.589862005187758	-1.1002755738764474	8.52968692076926	8.56673984897952
GPR110	-5.522014674850321	-8.071406259474053	-3.917361754272601	-5.754846525707502	-5.255644172182848	-5.90958553672413	4.722226916682311	4.795026365638519	3.3111869736206145	6.554634283875519	8.532024066018389	6.515760317376117
S100P	-6.392963930982806		-6.962950090401088	-7.2202250011783615		-7.277020576123054	6.056395214124051		6.5387167092691385	7.556793718037099		7.701253957255044
NANP	-6.791739014660492		-8.01185455534992	-6.111251181134343		-5.332449251816686	4.12676940243051		4.688716348939353	8.776220793364308		8.655587458227274
BPI	-6.473595954614263	-3.9358202186919855	-6.222446267223214	-5.104635957316414	-4.396335292367487	-5.253387219513922	5.432225865396822	4.36579880259831	5.726794608170112	6.1460060465338335	3.9663567084611517	5.749038878567013
S100A12	-7.503629098460097	-1.1549636181890564	-3.9306775147183366	-7.211989592509062	-0.7177132105392632	-3.7225220846907163	3.9884236173278182	0.4589732994939859	2.3088626338889693	10.727195073641342	1.4137035292343398	5.344336965520072
CNRIP1	-7.035583674701568	-3.769507050395044	-5.039242855100708	-2.3735157640818207	-2.759770948246778	-2.708046804254359	1.2628316154360404	0.8454034052818621	0.9555257353277004	8.146267823347358	5.683874593359951	6.791763924027357
MLYCD	-8.116480102801669	-0.069055325030515	-1.5784022282468282	-5.15785988338463	-0.9234101240767798	-0.6744699364995279	4.329665917591367	0.14883775867687196	0.3487657982910576	8.94467406859497	0.8436276904304206	1.904106366455289
LYZ	-5.676989331118787	-5.86184459433392	-5.661261906914136	-6.60272508687761	-6.812654072939037	-6.726427052646383	8.213181873514934	8.362900442152338	8.011157923261086	4.0665325444814835	4.311598225120596	4.376531036299431
IGF2BP1	-6.945264629623777	-6.350515293422992	-7.4640293084875475	-5.62181679451359	-5.527686268530194	-5.639974023294702	7.009893446179441	7.0119961469780145	7.013851467182351	5.5571879779579465	4.8662054149751715	6.090151864599866
PRTN3	-3.5792290524234516	-3.791458043014018	-3.5652808489932823	-6.7099286051236025	-7.860356979848776	-6.811383244852335	7.955644510689101	9.226494237242928	8.16504182144607	2.3335131468579515	2.425320785619854	2.2116222723995245
C12orf56	-5.890005504613295		-4.063984609732657	-9.743294318402317		-7.226529349103937	7.047498920736346		6.747478362348715	8.585800902279255		4.543035596487898
