snps	gene	statistic	pvalue	FDR	beta
CTNNB1	POLR1C	3.10164331323515	0.0022871076230020397	0.031697329022813095	0.384315108948711
CTNNB1	TUBA4A	-3.1014613123144197	0.00228843080581576	0.031697329022813095	-1.19014650113568
CTNNB1	RRP15	3.0967707690989603	0.00232277720584638	0.03209232148756581	0.5111600854932621
CTNNB1	SLC27A3	-3.0949079837738998	0.00233654917199058	0.03223285783795325	-1.0452366040899101
CTNNB1	ADRBK2	3.0929916490403397	0.00235079579416397	0.032379499607923114	0.446158331729511
CTNNB1	NOP10	3.0925976648491402	0.00235373472870663	0.032379499607923114	0.43938561917059704
CTNNB1	MRPS15	3.09220455673406	0.00235667051332068	0.032379499607923114	0.646056213142144
CTNNB1	RAD1	-3.0919084529637404	0.00235888409124656	0.032379499607923114	-0.467309758956212
CTNNB1	ACOT11	-3.0918031955647702	0.00235967142516456	0.032379499607923114	-0.7674900013302809
CTNNB1	PARD3B	3.0897916663471494	0.00237476458934537	0.03245995018077725	0.596550328474553
CTNNB1	INTS2	-3.0881682316309704	0.00238701077419312	0.03257760283742531	-0.30412598347268105
CTNNB1	HECTD4	3.0879980431248097	0.0023882979454628197	0.03257760283742531	0.35395111072989
CTNNB1	TCEAL1	3.0877387244847103	0.00239026046014888	0.03257760283742531	0.458049776810091
CTNNB1	PCDH1	3.08675120909299	0.0023977475970109303	0.03257760283742531	0.8375392079471821
CTNNB1	TNS1	-3.0856905312966503	0.0024058135761075	0.032635225677106736	-0.477540751475676
CTNNB1	FHIT	3.08366242036078	0.00242130630940182	0.03279569650238199	0.818397974069155
CTNNB1	ANKMY2	3.0831439431015	0.00242528172654958	0.03279992038942355	0.568976149933212
CTNNB1	NIT1	3.08256718557913	0.00242971109298125	0.0328102615617815	0.634480409976889
CTNNB1	KDELC1	-3.0809787919586897	0.00244194826501641	0.03292584761549988	-0.8057443390739599
CTNNB1	FAM76B	-3.0773930595556402	0.00246978284561954	0.033251076416288335	-0.444815160393859
CTNNB1	PAPSS2	-3.0767567665833395	0.00247475264460055	0.03326795859926235	-0.8715981069001
CTNNB1	MRPL13	3.0751209207342005	0.0024875719405962698	0.03339015230008756	0.517154341576868
CTNNB1	PDE4DIP	-3.07499939552144	0.0024885267157119103	0.03339015230008756	-0.45279630337175303
CTNNB1	AGPAT2	-3.07470280045731	0.0024908583662669103	0.03339015230008756	-0.8489387757416241
CTNNB1	MRPS24	3.0742659102471	0.00249429660804797	0.03339015230008756	0.5258540446754539
CTNNB1	WBP2	3.07398916929412	0.00249647677342003	0.03339015230008756	0.8013595684638549
CTNNB1	COX7A2	3.07377269714217	0.00249818336793432	0.03339015230008756	0.7848580747665259
CTNNB1	DLGAP4	-3.07372278433622	0.00249857701675937	0.03339015230008756	-0.4632566548028211
CTNNB1	COQ7	3.07348450424317	0.00250045705729593	0.03339015230008756	0.7202162576839151
CTNNB1	GPX7	-3.0732210225019596	0.0025025374611692	0.03339015230008756	-1.2082604206394099
CTNNB1	PCOLCE	-3.07320676512212	0.00250265008042964	0.03339015230008756	-1.08982496473992
CTNNB1	POLE3	-3.0726697919623	0.0025068950494327	0.03339015230008756	-0.5745252975323399
CTNNB1	USP13	-3.0714532052889902	0.00251653722562819	0.03339015230008756	-0.504038458092121
