snps	gene	statistic	pvalue	FDR	beta
TP53	REEP4	3.02844028647318	0.0028802721987072	0.047964517299362804	0.367363701940929
TP53	MKI67	3.02820831618817	0.0028823589649162	0.047964517299362804	0.77594286869214
TP53	MMACHC	3.02081461858094	0.0029496059464135	0.048812979737966854	0.678972717559
TP53	DHX8	3.01935726427542	0.0029630301994754	0.04894466674520896	0.302123110173697
TP53	AAGAB	3.01751461048952	0.0029800841683919	0.04913571557939719	0.417036165456817
TP53	PRDX1	3.01728720795355	0.0029821950609708	0.04913571557939719	0.437844098435362
TP53	GTF3C6	3.0164764643201	0.0029897321045829	0.04913571557939719	0.326595938136279
TP53	RPL7A	-3.01595022743895	0.0029946336299642	0.04913571557939719	-0.284284271635919
TP53	KPNB1	3.01588438211325	0.0029952474534867	0.04913571557939719	0.299237982308363
TP53	NDUFA9	-3.00910080485312	0.0030591099212933	0.049978487454998013	-0.465378619830235
CTNNB1	GLUL	10.1707772625898	6.20963002896278e-19	5.559481764930377e-15	6.96719787832429
CTNNB1	AMACR	8.2314027551802	7.117503973531531e-14	3.18615065375139e-10	3.98878974158056
CTNNB1	EPHB2	8.14461258745673	1.1772092365784499e-13	3.513184765028954e-10	1.90980229560417
CTNNB1	TBX3	8.1162329567274	1.3871486261213599e-13	3.513184765028954e-10	1.78333470577469
CTNNB1	ALDH3A1	7.9883018690695	2.89881421843931e-13	5.190616739537429e-10	5.02141565174563
CTNNB1	ROCK2	7.67586058818379	1.7198066280496398e-12	2.566238123488071e-09	1.09967957242884
CTNNB1	MME	7.4275948219044	6.92889011953468e-12	8.862050462884856e-09	3.57837279652661
CTNNB1	HSDL1	7.37742088959731	9.1603554210757e-12	1.0251582760611342e-08	1.76687785295124
CTNNB1	ITGA6	7.36598673573864	9.760957836352369e-12	1.0251582760611342e-08	1.43493107321897
CTNNB1	ACSL6	7.22450152927962	2.13383157950726e-11	1.9104194131328497e-08	3.27206345493533
CTNNB1	MYO1E	-7.09009081276396	4.4567159550854895e-11	3.6273616314436717e-08	-1.31334707003062
CTNNB1	ACSL5	6.98519681939309	7.882166717855719e-11	5.8807532187468544e-08	3.21011247890051
CTNNB1	CYP3A4	6.94368190474469	9.866430431050979e-11	6.794934742246108e-08	3.27856282347397
CTNNB1	ZNF277	6.80614543995694	2.06619812008461e-10	1.321333697794108e-07	2.90719060499987
CTNNB1	CA5B	6.75224916817353	2.75480527634988e-10	1.6442514426106983e-07	2.22865047336876
CTNNB1	SLC1A2	6.71192128607583	3.41375591155174e-10	1.9102097922576705e-07	2.28534676278552
CTNNB1	ACSS3	6.65310729238379	4.661848063011801e-10	2.455148571067332e-07	2.33358000816673
CTNNB1	UGT1A4	6.52789249820906	9.00752729813198e-10	4.4802439944542004e-07	2.82018055804775
CTNNB1	LAMA3	6.49872157050604	1.04914454883995e-09	4.943679550402144e-07	1.8377266362216
CTNNB1	CTNNBIP1	6.480674086491	1.15274090490674e-09	5.160244660815022e-07	1.49668510825182
CTNNB1	UGT1A3	6.45573612427243	1.3126309782513802e-09	5.59618340394505e-07	2.84156327118285
CTNNB1	FAM169A	6.44249551817159	1.4061978074430602e-09	5.72258589547169e-07	2.2359979743155
CTNNB1	ERICH5	-6.43285496697782	1.4784234365613e-09	5.754923925014487e-07	-3.12171633157816
CTNNB1	CDK6	6.20610478130908	4.7457373556049905e-09	1.7703577726971451e-06	2.00736778310203
CTNNB1	NUBPL	6.14016021648237	6.633134389871251e-09	2.3754580877006924e-06	1.64887125516733
CTNNB1	IMPAD1	6.11110542346938	7.682647219731811e-09	2.6454900214714963e-06	1.4482052640568
CTNNB1	DYNC1I1	6.05666233819864	1.0106100863527e-08	3.3511081863391565e-06	1.62780153271348
CTNNB1	GNPAT	5.99225299126832	1.39530119188077e-08	4.461475561038762e-06	1.67411577564534
CTNNB1	ITPR2	5.96490968549843	1.59910431745095e-08	4.9368210186683985e-06	1.1045711136035
CTNNB1	ARSB	5.95869118940562	1.64937888810622e-08	4.9368210186683985e-06	1.47582272970678
CTNNB1	ATP2B2	-5.92724456180793	1.9283232660775e-08	5.56912200038447e-06	-1.15204233578019
CTNNB1	ABHD6	5.92337114081405	1.96573049372642e-08	5.56912200038447e-06	1.24681875697482
CTNNB1	AOX1	5.81103888221983	3.42074250924098e-08	9.280578086434695e-06	2.34112143460597
CTNNB1	SMYD2	5.804146311676	3.53830117218732e-08	9.317179527821494e-06	1.46706841060401
CTNNB1	BAIAP2L1	-5.78257374304516	3.93238972314101e-08	1.0059052911794705e-05	-1.61676088385539
CTNNB1	GGH	5.77175713894796	4.14585165205025e-08	1.0310502733557191e-05	2.62816998123099
CTNNB1	ANXA13	-5.77151434963223	4.15077088840181e-08	1.0310502733557191e-05	-2.82582944605087
CTNNB1	GPC6	-5.72194733231228	5.28444893460474e-08	1.2450439818820062e-05	-1.86490769221367
CTNNB1	SLC5A6	5.70429653027604	5.7572304120117e-08	1.3216534327882243e-05	1.33306211699062
CTNNB1	SLC13A3	5.67039269525805	6.78423147544076e-08	1.5184806099905282e-05	1.68307077878893
CTNNB1	HEPACAM	5.66495730381199	6.96474860863991e-08	1.5208632754427589e-05	2.4185778908234
CTNNB1	43345	-5.59007125819677	9.98527209006357e-08	2.128527167198551e-05	-0.834298724387298
CTNNB1	PRG4	-5.57319919322335	1.0825169885454e-07	2.2539010694062713e-05	-2.36341792959317
CTNNB1	HAL	-5.52236866432663	1.37946985636918e-07	2.806907641834834e-05	-2.70759063959274
CTNNB1	ASAP2	5.51528069814635	1.4267417519449e-07	2.8385819789250423e-05	0.983384060717981
