Gene	ConditionA_rep2	ConditionB_rep2	ConditionC_rep2	ConditionD_rep2	A-value	Observed Variance	M-value of ConditionA_rep2	z-score of ConditionA_rep2	M-value of ConditionB_rep2	z-score of ConditionB_rep2	M-value of ConditionC_rep2	z-score of ConditionC_rep2	M-value of ConditionD_rep2	z-score of ConditionD_rep2	Estimated Variance	z-transformed of ConditionA_rep2	z-transformed of ConditionB_rep2	z-transformed of ConditionC_rep2	z-transformed of ConditionD_rep2	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2
STRN	10.309690372498657	10.08580873426434	10.347736562090928	10.174581816931589	10.22945437144638	0.014691186269649069	0.08023600105227757	0.6619738636925251	-0.14364563718203982	-1.1851245849854122	0.11828219064454792	0.9758676618986937	-0.054872554514791005	-0.45271694060585066	0.046714764174965125	0.37122925602720364	-0.6646076863663505	0.5472582015351695	-0.25387977119604727	0.9434610146778101	0.8149289860207731	1.0
UNC45A	11.391622881689432	11.28807789605937	11.16447244460822	11.174706852410173	11.254720018691799	0.011467291095266946	0.13690286299763343	1.2784451852164744	0.03335787736757112	0.31150712830855926	-0.09024757408357864	-0.8427623355591377	-0.08001316628162591	-0.747189977965896	0.036492489184125405	0.7166560746645818	0.17462107752851938	-0.47242600172544635	-0.41885115046765486	0.9427110634252376	0.8151102995542003	1.0
TUBA1C	11.246974522487006	11.012483907992115	11.024755525057154	11.061776486318124	11.0864976104636	0.011884695511819518	0.16047691202340708	1.4720363318065823	-0.07401370247148442	-0.6789192147070738	-0.06174208540644521	-0.5663530770490877	-0.02472112414547567	-0.2267640400504046	0.03782539389646257	0.8251270584800292	-0.3805576007008676	-0.3174604039515171	-0.12710905382763543	0.9425965697291238	0.815137980000045	1.0
BAD	6.036399024899735	5.866797157202368	6.356305026710637	5.717388670034011	5.994222469711688	0.07525226760083525	0.04217655518804708	0.15374864954225984	-0.12742531250932032	-0.4645109025253131	0.3620825569989492	1.3199206031215573	-0.27683379967767685	-1.0091583501385073	0.2395325112707358	0.08617650397775409	-0.26035952678842905	0.7398188110521248	-0.5656357882414517	0.9424891911534305	0.8151639401787308	1.0
NBPF11	8.991994618229475	9.22857415191163	9.184823823938403	9.33176970452254	9.184290574650511	0.020229716057845404	-0.19229595642103625	-1.3519955385670772	0.04428357726111898	0.3113492348103983	0.0005332492878924455	0.0037491722217815123	0.14747912987202838	1.0368971315349225	0.06439764726510874	-0.7577660635828365	0.17450492796141606	0.0021013349490816694	0.5811598006723527	0.9424125065267434	0.81518247964072	1.0
NUP35	10.927673115393423	11.09749258321267	10.833575452469164	10.986958433316648	10.961424896097977	0.012217013312188186	-0.03375178070455398	-0.30536142040495784	0.13606768711469286	1.231040891509284	-0.12784944362881312	-1.1566882365768163	0.025533537218670688	0.2310087654724578	0.038893277399538795	-0.17114311014618505	0.6899501797267991	-0.6482784302441914	0.1294713606635594	0.9423489710074979	0.8151978401095901	1.0
ALG13	5.1961675422734075	4.858519865388383	5.47331286555178	4.711884915652944	5.059971297216629	0.11704915923235941	0.1361962450567784	0.3980897403071264	-0.20145143182824565	-0.5888249573075421	0.41334156833515134	1.208161337547032	-0.348086381563685	-1.0174261205466189	0.37266533606584484	0.22310311556345494	-0.3299976593103856	0.6770949643216125	-0.5702004205746833	0.9422595656576851	0.8152194548676974	1.0
SNRPD1	11.534507594267893	11.43083621231691	11.423813225556335	11.645433260334132	11.508647573118818	0.010876846438997686	0.025860021149075152	0.24795757317829237	-0.07781136080190798	-0.7460905031329268	-0.08483434756248265	-0.8134300750372464	0.1367856872153137	1.3115630049918638	0.03468527755266418	0.13885332653333393	-0.4178019123474998	-0.4555112811173019	0.7344598669314583	0.9407605076087017	0.8155818602706639	1.0
ATG3	12.096544286778963	12.052106818895867	12.212560799254646	11.97546516890579	12.084169268458817	0.009827369396710452	0.01237501832014587	0.12483236834364621	-0.032062449562950235	-0.32342833039091645	0.1283915307958292	1.2951430413979883	-0.10870409955302662	-1.0965470793507361	0.03136105637012066	0.06987961587079437	-0.1810511791880136	0.7250050562325191	-0.6138334929153099	0.940086578786948	0.8157447806678146	1.0
SLC25A17	6.494288791499688	6.981645232430413	6.658354494486567	6.46963570111755	6.650981054883554	0.055610589553731986	-0.15669226338386633	-0.6644599424688185	0.3306641775468586	1.4021949497980601	0.0073734396030129545	0.03126737178090793	-0.18134535376600436	-0.7690023791101458	0.17747112293128817	-0.3719492653476706	0.7849162125767682	0.017502749556354114	-0.43046969678544966	0.9400502228511199	0.8157535695139572	1.0
PSMD7	12.6040999715445	12.809991236578758	12.613049281129681	12.677288092474907	12.676107145431963	0.009029223946582003	-0.0720071738874637	-0.7577929382916001	0.13388409114679511	1.408976541409489	-0.06305786430228189	-0.6636117166145085	0.0011809470429433588	0.01242811349654464	0.02882238891895068	-0.424141510952594	0.7886131012482742	-0.3714276841973076	0.006956093901585518	0.9398135566041128	0.8158107820191491	1.0
YEATS2	9.725929098603615	9.971622047943159	10.008499202006512	9.863042405460487	9.892273188503442	0.016109840877035247	-0.16634408989982674	-1.3105746095780422	0.07934885943971715	0.625165586245325	0.11622601350306994	0.9157094932637988	-0.02923078304295501	-0.23030046993103973	0.05142633297267199	-0.7335244535950409	0.34990319643432577	0.512519699976777	-0.12889844281603835	0.9397816223215468	0.8158185018883016	1.0
PPWD1	10.228933389242359	10.369427871344888	10.494447305526181	10.45922189809863	10.388007616053013	0.014016899337081225	-0.1590742268106542	-1.343611906690773	-0.01857974470812529	-0.15693281503625722	0.10643968947316829	0.8990371161184166	0.07121428204561653	0.6015076056086588	0.04476438907387899	-0.751853957600567	-0.08781595152205121	0.503080249897635	0.33658965922500833	0.9393783514356323	0.8159159888668883	1.0
